FpsCounter(last 1.03sec): total=29.98 fps, number-streams=1, per-stream=29.98 fps
FpsCounter(average 81.57sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 82.60sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.09 fps, number-streams=1, per-stream=30.09 fps
FpsCounter(average 83.60sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.95 fps, number-streams=1, per-stream=29.95 fps
FpsCounter(average 84.64sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.06 fps, number-streams=1, per-stream=30.06 fps
FpsCounter(average 85.67sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.95 fps, number-streams=1, per-stream=29.95 fps
FpsCounter(average 86.67sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.05 fps, number-streams=1, per-stream=30.05 fps
FpsCounter(average 87.70sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 88.73sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 89.77sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 90.77sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.95 fps, number-streams=1, per-stream=29.95 fps
FpsCounter(average 91.80sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 92.80sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 93.83sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=29.99 fps, number-streams=1, per-stream=29.99 fps
FpsCounter(average 94.87sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 95.87sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.04sec): total=29.94 fps, number-streams=1, per-stream=29.94 fps
FpsCounter(average 96.90sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 97.93sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 98.97sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 99.97sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 100.97sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 101.97sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 103.00sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 104.00sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.97 fps, number-streams=1, per-stream=29.97 fps
FpsCounter(average 105.00sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
FpsCounter(average 106.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 107.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.94 fps, number-streams=1, per-stream=29.94 fps
FpsCounter(average 108.07sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.05 fps, number-streams=1, per-stream=30.05 fps
FpsCounter(average 109.07sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.03 fps, number-streams=1, per-stream=30.03 fps
FpsCounter(average 110.10sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.00sec): total=29.94 fps, number-streams=1, per-stream=29.94 fps
FpsCounter(average 111.13sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.00 fps, number-streams=1, per-stream=30.00 fps
FpsCounter(average 112.13sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(average 113.17sec): total=30.01 fps, number-streams=1, per-stream=30.01 fps
FpsCounter(last 1.03sec): total=30.02 fps, number-streams=1, per-stream=30.02 fps
