FpsCounter(last 1.00sec): total=59.99 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 74.27sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.98 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 75.30sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 76.33sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 77.34sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.10 fps, number-streams=2, per-stream=30.05 fps (30.05, 30.05)
FpsCounter(average 78.37sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.00sec): total=59.94 fps, number-streams=2, per-stream=29.97 fps (29.97, 29.97)
FpsCounter(average 79.37sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (30.02, 30.02)
FpsCounter(average 80.40sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(average 81.43sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=59.99 fps, number-streams=2, per-stream=29.99 fps (29.99, 29.99)
FpsCounter(average 82.47sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (30.99, 29.05)
FpsCounter(average 83.50sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.01, 29.99)
FpsCounter(last 1.00sec): total=59.80 fps, number-streams=2, per-stream=29.90 fps (28.90, 30.90)
FpsCounter(average 84.50sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.02 fps, number-streams=2, per-stream=30.01 fps (30.01, 30.01)
FpsCounter(average 85.54sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.12 fps, number-streams=2, per-stream=30.06 fps (30.06, 30.06)
FpsCounter(average 86.57sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
FpsCounter(last 1.03sec): total=60.04 fps, number-streams=2, per-stream=30.02 fps (30.02, 30.02)
FpsCounter(average 87.60sec): total=60.00 fps, number-streams=2, per-stream=30.00 fps (30.00, 30.00)
