System,System,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,Socket 0,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Core C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,SKT0 Package C-State,Proc Energy (Joules),Power Plane 0 Energy (Joules),Power Plane 1 Energy (Joules),
Date,Time,EXEC,IPC,FREQ,AFREQ,CFREQ,L3MISS,L2MISS,L3HIT,L2HIT,L3MPI,L2MPI,READ,WRITE,TEMP,INST,ACYC,TIME(ticks),PhysIPC,PhysIPC%,INSTnom,INSTnom%,C0res%,C1res%,C3res%,C6res%,C7res%,C0res%,C2res%,C4res%,C6res%,SKT0,SKT0,SKT0,
2026-07-30,06:36:35.984,0.28,2.30,0.12,0.99,3.88,58.44,8.56,0.64,0.82,0.0027,0.0004,5.97,4.39,66,21880.61,9504.43,3880.38,2.30,19.18,0.28,2.35,12.32,17.08,0.00,50.42,20.18,100.00,0.00,0.00,0.00,35.99,27.28,1.51,
2026-07-30,06:36:36.984,0.05,0.89,0.06,0.72,2.81,80.64,11.44,0.57,0.40,0.0204,0.0029,10.07,8.21,67,3953.50,4422.69,3880.04,0.89,7.45,0.05,0.42,7.92,29.73,0.00,45.08,17.27,100.00,0.00,0.00,0.00,21.79,10.64,3.57,
2026-07-30,06:36:37.985,0.06,1.04,0.06,0.69,2.70,82.99,11.95,0.57,0.41,0.0168,0.0024,10.20,8.31,67,4933.89,4732.89,3878.15,1.04,8.69,0.06,0.53,8.82,25.47,0.00,49.05,16.66,100.00,0.00,0.00,0.00,22.72,11.10,4.08,
2026-07-30,06:36:38.986,0.04,0.84,0.05,0.66,2.59,78.50,11.57,0.58,0.39,0.0226,0.0033,10.05,8.26,67,3466.34,4142.49,3880.15,0.84,6.97,0.04,0.37,8.05,20.20,0.00,55.99,15.76,100.00,0.00,0.00,0.00,21.47,9.79,4.12,
2026-07-30,06:36:39.986,0.07,1.12,0.06,0.66,2.56,81.48,11.95,0.58,0.45,0.0149,0.0022,10.27,8.37,64,5479.50,4887.59,3879.41,1.12,9.34,0.07,0.59,9.59,23.51,0.00,52.65,14.24,100.00,0.00,0.00,0.00,22.92,11.33,3.99,
2026-07-30,06:36:40.985,0.07,1.03,0.06,0.67,2.59,83.09,11.84,0.58,0.54,0.0160,0.0023,10.35,8.38,66,5178.65,5022.58,3878.39,1.03,8.59,0.07,0.56,9.74,25.80,0.00,50.35,14.12,100.00,0.00,0.00,0.00,22.95,11.29,4.09,
2026-07-30,06:36:41.986,0.06,0.99,0.06,0.66,2.59,83.47,11.78,0.57,0.47,0.0183,0.0026,10.19,8.32,63,4550.44,4611.88,3879.85,0.99,8.22,0.06,0.49,8.96,35.56,0.00,38.65,16.83,100.00,0.00,0.00,0.00,22.77,11.09,4.10,
2026-07-30,06:36:42.987,0.06,0.98,0.06,0.68,2.65,81.90,11.30,0.57,0.50,0.0187,0.0026,10.11,8.34,66,4384.77,4481.41,3881.56,0.98,8.15,0.06,0.47,8.49,29.15,0.00,45.64,16.71,100.00,0.00,0.00,0.00,21.85,10.40,3.84,
2026-07-30,06:36:43.987,0.05,0.88,0.05,0.66,2.59,79.73,11.10,0.57,0.49,0.0215,0.0030,9.96,8.25,63,3712.58,4202.98,3878.27,0.88,7.36,0.05,0.40,8.15,24.56,0.00,51.85,15.44,100.00,0.00,0.00,0.00,21.60,10.04,4.01,
2026-07-30,06:36:44.987,0.07,1.16,0.06,0.66,2.58,81.55,11.54,0.57,0.46,0.0142,0.0020,10.14,8.32,63,5732.77,4926.01,3883.38,1.16,9.70,0.07,0.62,9.57,22.68,0.00,51.89,15.86,100.00,0.00,0.00,0.00,23.02,11.39,4.07,
2026-07-30,06:36:45.987,0.10,1.10,0.09,0.82,3.20,98.78,14.40,0.55,0.56,0.0130,0.0019,11.32,8.35,65,7608.60,6911.24,3877.49,1.10,9.17,0.10,0.82,10.84,28.49,0.00,42.82,17.85,100.00,0.00,0.00,0.00,26.00,14.27,4.11,
